Station_Name_Public,Final_Cluster,Raw_Cluster,Final_Cluster_Label,Used_In_Final_Clustering,Cluster_Method,N_Clusters,Outlier_Exclusion_Applied,Source_Script,Diagnostic_Previous_Script,Notes
松江图书馆,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
松江岳阳,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
浦东东方路路边站,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
浦东川沙,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
浦东张江,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
浦东监测站,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
虹口凉城,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
虹口嘉兴,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
金山廊下,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
长宁仙霞,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
长宁华阳,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
长宁程桥,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
闵行江川,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
闵行莘庄,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
青浦夏阳,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
青浦徐泾,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
静安七一中学,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
静安和田中学,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
静安监测站,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
黄浦瑞金,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
卢湾师专附小,2,2,Cluster 2,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
嘉定南翔,2,2,Cluster 2,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
嘉定天华学院,2,2,Cluster 2,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
嘉定监测站,2,2,Cluster 2,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
奉贤南桥,2,2,Cluster 2,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
奉贤南桥新城,2,2,Cluster 2,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
宝山罗店,2,2,Cluster 2,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
金山朱泾,2,2,Cluster 2,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
金山枫泾,2,2,Cluster 2,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
闵行浦江,2,2,Cluster 2,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
青浦朱家角,2,2,Cluster 2,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
人民广场,3,0,Cluster 3,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
奉贤海湾,3,0,Cluster 3,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
崇明现代农业园区,3,0,Cluster 3,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
徐家汇,3,0,Cluster 3,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
浦东周浦,3,0,Cluster 3,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
浦东惠南,3,0,Cluster 3,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
静安市北高新,3,0,Cluster 3,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
静安共和新路路边站,4,1,Cluster 4,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
静安延安西路路边站,5,4,Cluster 5,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
